,question,tcs_actual,tcs_expected,tools_called_acc,tcs_levenstein_dist,RAG_args_recall,tavily_search_args_recall,Planner_args_recall
0,Giờ làm việc theo quy định của công ty bắt đầu vào lúc nào?,"['RAG', 'RAG']",['RAG'],1.0,1,1.0,,
1,"Tôi cảm ơn, hết rồi.",[],[],1.0,0,,,
2,Còn bao nhiêu phút nữa là kết thúc ca làm việc buổi chiều?,[],"['get_time_now', 'RAG']",0.0,2,,,
3,tôi submit hợp đồng 8 ngày rồi mà chưa được trả lại thì tôi cần làm gì?,"['RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG']","['RAG', 'Planner', 'RAG']",0.5,76,1.0,,
4,Tôi cần làm gì sau khi hoàn thành soạn thảo hợp đồng?,"['RAG', 'RAG']",['RAG'],1.0,1,1.0,,
5,"Tôi muốn có một kế hoạch học làm bánh chi tiết dài 20 ngày, với nguyên liệu chủ yếu là hoa quả trong mùa này và có sẵn ở Việt Nam.",[],"['Planner', 'get_time_now()', 'tavily_search']",0.0,3,,,
6,Kỳ World Cup tiếp theo được tổ chức ở đâu và còn bao nhiêu tháng nữa là tới mùa bóng lăn?,"['get_time_now', 'get_time_now']","['get_time_now()', 'tavily_search']",0.0,2,,,
7,Còn bao nhiêu ngày nữa để chuẩn bị trước khi kỳ kiểm tra tiêu chuẩn ISO định kỳ lần kế tiếp của công ty diễn ra? Tôi cần một phương án học tập phù hợp với lượng thời gian này. ,"['RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG', 'RAG']","['get_time_now()', 'RAG', 'tavily_search', 'Planner']",0.25,17,1.0,,
8,Tôi cần soạn thảo đầy đủ một hợp đồng thử việc theo quy định của pháp luật hiện hành và quy định của công ty.,"['RAG', 'RAG']","['Planner', 'RAG', 'tavily_search']",0.3333333333333333,2,1.0,,
9,Bộ phận IFU đi du lịch ở đâu vào năm 2024?,"['tavily_search', 'tavily_search', 'tavily_search', 'tavily_search', 'tavily_search', 'tavily_search']",['tavily_search'],1.0,5,,1.0,
10,"Lên kế hoạch cho du lịch hè ở Quy Nhơn cho nhóm 30 người, trong khoảng ngân sách 8tr/1 người","['Planner', 'Planner', 'Planner', 'Planner', 'Planner', 'Planner', 'Planner', 'Planner', 'Planner', 'Planner']","['Planner', 'tavily_search', 'tavily_search']",0.5,9,,,0.0
